SUBMITTED_DATE;CASE_NO;PROGRAM;NAME;ADDRESS1;ADDRESS2;CITY;STATE;POSTAL_CODE;NBR_IMMIGRANTS;BEGIN_DATE;END_DATE;JOB_TITLE;DOL_DECISION_DATE;CERTIFIED_BEGIN_DATE;CERTIFIED_END_DATE;JOB_CODE;APPROVAL_STATUS;WAGE_RATE_1;RATE_PER_1;MAX_RATE_1;PART_TIME_1;CITY_1;STATE_1;PREVAILING_WAGE_1;WAGE_SOURCE_1;YR_SOURCE_PUB_1;OTHER_WAGE_SOURCE_1;WAGE_RATE_2;RATE_PER_2;MAX_RATE_2;PART_TIME_2;CITY_2;STATE_2;PREVAILING_WAGE_2;WAGE_SOURCE_2;YR_SOURCE_PUB_2;OTHER_WAGE_SOURCE_2;WITHDRAWN;OCCUPATIONAL_TITLE
3/26/2008;I-08086-4125579;R;CITY CARPET DISTRIBUTORS;5736 E. BEVERLY BLVD.;;LOS ANGELES;CA;90022;1;9/25/2008;9/25/2011;DESIGN ENGINEER;3/26/2008;;;12;CERTIFIED;58573;yr;62000;N;LOS ANGELES;CA;58573;yr;;;;;;;;;;;;;N;INDUSTRIAL ENGINEERING OCCUPATIONS
3/26/2008;I-08086-4125589;R;Triway Enterprise, Inc.;1401 Wilson Blvd., Suite 1011;;Arlington;VA;22209;1;9/26/2008;9/25/2011;BUSINESS ANALYST;3/26/2008;;;50;CERTIFIED;42000;yr;;N;Arlington;VA;41912;yr;2008;OEC/SOC;;;;;;;;;;;N;OCCUPATIONS IN ECONOMICS
3/26/2008;I-08086-4125511;R;American Information Technology Corp;5525 N MacArthur Blvd, Suite 580;;Irving;TX;75038;1;9/26/2008;9/25/2011;PROGRAMMER ANALYST;3/26/2008;;;30;CERTIFIED;47611;yr;47611;N;Irving;TX;47611;yr;2007;www.flcdatacenter.com;;;;;;;;;;;N;OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING
3/26/2008;I-08086-4125533;R;El Maizal Tortilleria, Inc.;1920 Shiloh Rd.  Building 4,  Suite 100;;Kennesaw;GA;30144;1;9/26/2008;9/25/2011;PRODUCTION ENGINEER MANAGER;3/26/2008;;;183;CERTIFIED;50000;yr;;N;Marietta;GA;49525;yr;;;;;;;;;;;;;N;MANUFACTURING INDUSTRY MANAGERS AND OFFICIALS
3/30/2008;I-08090-4183057;R;Broadgate Inc;2328 Livernois Rd Suite 1080;;Troy;MI;48083;3;8/1/2008;7/30/2011;PROGRAMMER ANALYST;3/30/2008;;;30;CERTIFIED;49504;yr;;N;2328 Livernois Rd;MI;49504;yr;2008;OES;;;;;;;;;;;Y;OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING
3/30/2008;I-08090-4183059;R;ORPINE INC;11785 Northfall Lane, Suite 504;;Alpharetta;GA;30004;1;9/28/2008;9/27/2011;SOFTWARE PROGRAMMER;3/30/2008;;;30;CERTIFIED;60000;yr;;N;ATLANTA;GA;58240;yr;2008;OES/SOC Online Wage Library;;;;;;;;;;;Y;OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING
3/30/2008;I-08090-4183061;R;OM CONSULTING INC. DBA WISE MEN CONSULTANTS;1500 S. DAIRY ASHFORD, SUITE 477;;HOUSTON;TX;77077;1;9/29/2008;9/15/2011;JAVA ARCHITECT ;3/30/2008;;;30;CERTIFIED;40726;yr;;N;HOUSTON;TX;40726;yr;2008;OES;;;;;;;;;;;N;OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING
3/30/2008;I-08090-4183063;R;American IT Resource Group Inc;2500 W. Higgins Road,;Suite #1273;Hoffman Estates;IL;60179;1;9/26/2008;9/25/2011;PROGRAMMER  ANALYST;3/30/2008;;;30;CERTIFIED;50000;yr;;N;Hoffman Estates;IL;43368;yr;2008;Online Wage Library;;;;;;;;;;;N;OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING
3/30/2008;I-08090-4183065;R;HYTECH Consulting, Inc;4141,Rockside Road, Suite # 240;;Seven Hills;OH;44131;1;9/29/2008;9/28/2011;PROGRAMMER ANALYST;3/30/2008;;;;CERTIFIED;55952;yr;56000;N;Gaithersburg;MD;55952;yr;2008;Online Wage Library;;;;;;;;;;;N;
3/30/2008;I-08090-4183067;R;American IT Resource Group Inc;2500 W. Higgins Road,;Suite #1273;Hoffman Estates;IL;60179;1;9/26/2008;9/25/2011;PROGRAMMER  ANALYST;3/30/2008;;;30;CERTIFIED;50000;yr;;N;Hoffman Estates;IL;43368;yr;2008;Online Wage Library;;;;;;;;;;;N;OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING
3/30/2008;I-08090-4183069;R;PREMIER SOFTECH, INC.;203 YARROW CIRCLE;;DAYTON;NJ;08810;1;9/26/2008;9/26/2011;PROGRAMMER ANALYST;3/30/2008;;;30;CERTIFIED;60000;yr;;N;DAYTON;NJ;52790;yr;2007;Online Wage Library;;;;;;;;;;;N;OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING
3/30/2008;I-08090-4183071;R;BINARY CODE INC;6666 HARWIN , SUITE 345;;HOUSTON;TX;77036;1;9/30/2008;9/29/2011;SYSTEMS ANALYST;3/30/2008;;;30;CERTIFIED;45000;yr;;N;Houston;TX;42640;yr;2007;OES Online Wage Library;;;;;;;;;;;N;OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING
3/30/2008;I-08090-4183073;R;SCOPUS IT;ONE COLUMBUS PLACE #S34H;;NEWYORK;NJ;10019;1;9/30/2008;9/29/2011;NETWORK & COMPUTER SYSTEMS ADMIN;3/30/2008;;;31;CERTIFIED;48000;yr;;N;NEWYORK;NY;46051;yr;2008;ONLINE WAGE LIBRARY;;;;;;;;;;;N;OCCUPATIONS IN DATA COMMUNICATIONS AND NETWORKS
3/30/2008;I-08090-4183075;R;eVantage Technologies, Inc;190 Middlesex Essex Tpke, S#201;;Iselin;NJ;08830;1;9/28/2008;9/27/2011;PROGRAMMER / ANALYST;3/30/2008;;;30;CERTIFIED;52790;yr;;N;ISELIN AND OTHER CITIES;NJ;52790;yr;2008;ONLINE WAGE LIBRARY;;;;;;;;;;;N;OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING
3/30/2008;I-08090-4183077;R;INCAT Systems, Inc.;900 Wilshire Dr.;Suite 214;Troy;MI;48084;1;9/30/2008;9/30/2011;PLM ENGINEER;3/30/2008;;;7;CERTIFIED;73008;yr;;N;Troy;MI;64334;yr;2008;OES Wage Data;;;;;;;;;;;N;MECHANICAL ENGINEERING OCCUPATIONS
3/30/2008;I-08090-4183079;R;American IT Resource Group Inc;2500 W. Higgins Road,;Suite #1273;Hoffman Estates;IL;60179;1;9/26/2008;9/25/2011;PROGRAMMER  ANALYST;3/30/2008;;;30;CERTIFIED;50000;yr;;N;Hoffman Estates;IL;43368;yr;2008;Online Wage Library;;;;;;;;;;;N;OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING
3/30/2008;I-08090-4183081;R;Neo Soft, Inc;25 Sagamore Ln;;Bordentown;NJ;08505;1;9/28/2008;9/27/2011;PROGRAMMER ANALYST;3/30/2008;;;30;CERTIFIED;52400;yr;;N;Bordentown;NJ;52354;yr;2008;OES Wage Data;;;;;;;;;;;N;OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING
3/30/2008;I-08090-4183083;R;HYTECH Consulting, Inc;4141,Rockside Road, Suite # 240;;Seven Hills;OH;44131;1;9/29/2008;9/28/2011;PROGRAMMER ANALYST;3/30/2008;;;;CERTIFIED;55952;yr;65000;N;Gaithersburg,;MD;55952;yr;2008;Online Wage Library;;;;;;;;;;;N;
3/30/2008;I-08090-4183085;R;American IT Resource Group Inc;2500 W. Higgins Road,;Suite #1273;Hoffman Estates;IL;60179;1;9/26/2008;9/25/2011;PROGRAMMER  ANALYST;3/30/2008;;;30;CERTIFIED;50000;yr;;N;Hoffman Estates;IL;43368;yr;2008;Online Wage Library;;;;;;;;;;;N;OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING
3/30/2008;I-08090-4183087;R;IDQBS INC.,;7251, W.Lake Mead Blvd,;Suite 300;Las Vegas;NV;89128;10;9/28/2008;9/27/2011;SOFTWARE ENGINEERS;3/30/2008;;;30;CERTIFIED;49296;yr;50000;N;Las Vegas;NV;49296;yr;2007;OEC SOC WAGE SURVEY;;;;;;;;;;;N;OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING
3/30/2008;I-08090-4183089;R;American IT Resource Group Inc;2500 W. Higgins Road,;Suite #1273;Hoffman Estates;IL;60179;1;9/26/2008;9/25/2011;PROGRAMMER  ANALYST;3/30/2008;;;30;CERTIFIED;50000;yr;;N;Hoffman Estates;IL;43368;yr;2008;Online Wage Library;;;;;;;;;;;N;OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING
3/30/2008;I-08090-4183091;R;iTechedge LLC;15404 Fernhill Drive;;Austin;TX;78717;1;9/29/2008;8/31/2011;SYSTEM ADMINISTRATOR;3/30/2008;;;30;CERTIFIED;55000;yr;;N;Austin;TX;39749;yr;2008;ETA FLC DATA CENTER;;;;;;;;;;;N;OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING
3/30/2008;I-08090-4183093;R;American IT Resource Group Inc;2500 W. Higgins Road,;Suite #1273;Hoffman Estates;IL;60179;1;9/26/2008;9/25/2011;PROGRAMMER  ANALYST;3/30/2008;;;30;CERTIFIED;50000;yr;;N;Hoffman Estates;IL;43368;yr;2008;Online Wage Library;;;;;;;;;;;N;OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING
3/30/2008;I-08090-4183095;R;eVantage Technologies, Inc;190 Middlesex Essex Tpke, S#201;;Iselin;NJ;08830;1;9/28/2008;9/27/2011;PROGRAMMER / ANALYST;3/30/2008;;;30;CERTIFIED;52790;yr;;N;ISELIN AND OTHER CITIES;NJ;52790;yr;2008;ONLINE WAGE LIBRARY;;;;;;;;;;;Y;OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING
3/30/2008;I-08090-4183097;R;American IT Resource Group Inc;2500 W. Higgins Road,;Suite #1273;Hoffman Estates;IL;60179;1;9/26/2008;9/25/2011;PROGRAMMER  ANALYST;3/30/2008;;;30;CERTIFIED;50000;yr;;N;Hoffman Estates;IL;43368;yr;2008;Online Wage Library;;;;;;;;;;;N;OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING
3/30/2008;I-08090-4183099;R;HYTECH Consulting, Inc;4141,Rockside Road, Suite # 240;;Seven Hills;OH;44131;1;9/29/2008;9/28/2011;PROGRAMMER ANALYST;3/30/2008;;;;CERTIFIED;49067;yr;55000;N;Seven Hills;OH;49067;yr;2008;Online Wage Library;;;;;;;;;;;N;
3/30/2008;I-08090-4183101;R;American IT Resource Group Inc;2500 W. Higgins Road,;Suite #1273;Hoffman Estates;IL;60179;1;9/26/2008;9/25/2011;PROGRAMMER  ANALYST;3/30/2008;;;30;CERTIFIED;50000;yr;;N;Hoffman Estates;IL;43368;yr;2008;Online Wage Library;;;;;;;;;;;N;OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING
3/30/2008;I-08090-4183103;R;Nexus Software Solutions,Inc.;200 Lakeside Drive, Suite 228;;Horsham;PA;19044;1;9/30/2008;9/29/2011;DATABASE ADMINISTRATOR;3/30/2008;;;31;CERTIFIED;47000;yr;;N;Horsham;PA;45864;yr;2008;Online Wage Library;;;;;;;;;;;N;OCCUPATIONS IN DATA COMMUNICATIONS AND NETWORKS
3/30/2008;I-08090-4183105;R;American IT Resource Group Inc;2500 W. Higgins Road,;Suite #1273;Hoffman Estates;IL;60179;1;9/26/2008;9/25/2011;PROGRAMMER  ANALYST;3/30/2008;;;30;CERTIFIED;50000;yr;;N;Hoffman Estates;IL;43368;yr;2008;Online Wage Library;;;;;;;;;;;N;OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING
3/30/2008;I-08090-4183107;R;JAK ENTERPRISES, INC;1001 PENNSYLVANIA AVE, NW;SUITE 600 (S);WASHINGTON;DC;20004;1;9/30/2008;9/30/2011;PROGRAMMER ANALYST;3/30/2008;;;30;CERTIFIED;45000;yr;;N;WASHINGTON;DC;43534;yr;2008;OES ONLINE WAGE LIBRARY;;;;;;;;;;;N;OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING
3/30/2008;I-08090-4183109;R;American IT Resource Group Inc;2500 W. Higgins Road,;Suite #1273;Hoffman Estates;IL;60179;1;9/26/2008;9/25/2011;PROGRAMMER  ANALYST;3/30/2008;;;30;CERTIFIED;50000;yr;;N;Hoffman Estates;IL;43368;yr;2008;Online Wage Library;;;;;;;;;;;N;OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING
3/30/2008;I-08090-4182453;R;Nexus Software Solutions,Inc.;200 Lakeside Drive, Suite 228;;Horsham;PA;19044;1;9/29/2008;9/29/2011;SOFTWARE ENGINEER;3/30/2008;;;30;CERTIFIED;48000;yr;;N;Horsham;PA;46051;yr;2008;Online Wage Library;;;;;;;;;;;N;OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING
3/30/2008;I-08090-4182473;R;iFusionIT LLC;10900 NE 8th Street Suite 900;;Bellevue;WA;98004;1;9/29/2008;9/28/2011;SOFTWARE DESIGN ENGINEER IN TEST;3/30/2008;;;39;CERTIFIED;59717;yr;106475;N;Bellevue;WA;59717;yr;;;;;;;;;;;;;N;OTHER COMPUTER-RELATED OCCUPATIONS
3/30/2008;I-08090-4182475;R;Nexus Software Solutions,Inc.;200 Lakeside Drive, Suite 228;;Horsham;PA;19044;1;9/29/2008;9/29/2011;SOFTWARE QA ANALYST;3/30/2008;;;30;CERTIFIED;48000;yr;;N;HORSHAM;PA;46051;yr;2008;Online Wage Library;;;;;;;;;;;N;OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING
3/30/2008;I-08090-4182479;R;GREYCELL INC;3830 VILLAGE TER;SUITE 241;FREMONT;CA;94536;1;9/29/2008;9/29/2011;COMPUTER PROGRAMMER;3/30/2008;;;30;CERTIFIED;52700;yr;;N;FREMONT;CA;52437;yr;2007;FLC Data Center Online Wage Library;;;;;;;;;;;N;OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING
3/30/2008;I-08090-4182483;R;GREYCELL INC;3830 VILLAGE TER;SUITE 241;FREMONT;CA;94536;1;9/29/2008;9/29/2011;COMPUTER PROGRAMMER;3/30/2008;;;30;CERTIFIED;52700;yr;;N;FREMONT;CA;52437;yr;2007;FLC Data Center Online Wage Library;;;;;;;;;;;N;OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING
3/26/2008;I-08086-4125567;R;DynPro Inc;7412 Chapel Hill Road;;Raleigh;NC;27607;10;9/26/2008;9/26/2011;COMPUTER SOFTWARE ENGINEER-APPLICATIONS;3/26/2008;;;30;CERTIFIED;58240;yr;110000;N;RALEIGH;NC;58240;yr;2008;ONLINE WAGE LIBRARY;;;;;;;;;;;N;OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING
3/26/2008;I-08086-4125591;R;Toyoda Machinery USA Corp;316 W. University Drive;;Arlington Heights;IL;60004;1;9/26/2008;9/26/2011;FIELD SERVICE ENGINEER ;3/26/2008;;;19;CERTIFIED;51168;yr;;N;Arlington Heights;IL;51168;yr;2008;online wage library;;;;;;;;;;;N;OTHER OCCUPATIONS IN ARCHITECTURE ENGINEERING AND SURVEYING
3/26/2008;I-08086-4125593;R;MASTER CHO''S TALIUM;396 SPRINGFIELD AVENUE;;BERKELEY HEIGHTS;NJ;07922;1;9/1/2008;9/1/2011;ATHLETIC TRAINER;3/26/2008;;;159;CERTIFIED;40000;yr;;N;BERKELEY HEIGHTS;NJ;39060;yr;2007;FLC WAGE SURVEY;;;;;;;;;;;N;OTHER OCCUPATIONS IN ENTERTAINMENT AND RECREATION
3/26/2008;I-08086-4125599;R;CANVAS INFOTECH, INC.;1328 DECOTO ROAD, SUITE 124;;UNION CITY;CA;94587;1;9/22/2008;9/21/2011;BUSINESS ANALYST;3/26/2008;;;161;CERTIFIED;60000;yr;;N;UNION CITY;CA;52374;yr;2008;OES ONLINE SALARY SURVEY;;;;;;;;;;;N;BUDGET AND MANAGEMENT SYSTEMS AND ANALYSIS OCCUPATIONS
3/26/2008;I-08086-4125601;R;Wang, Hartmann, Gibbs & Cauley, P.L.C.;1301 Dove Street, Suite 1050;;Newport Beach;CA;92660;1;9/26/2008;9/26/2011;LAW CLERK;3/26/2008;;;119;CERTIFIED;40000;yr;;N;Newport Beach;CA;36483;yr;2008;Online Wage Library;;;;;;;;;;;N;OTHER OCCUPATIONS IN LAW AND JURISPRUDENCE
3/26/2008;I-08086-4125619;R;Magma Design Automation, Inc.;1650 TECHNOLOGY DRIVE;;SAN JOSE;CA;95110;1;9/26/2008;9/25/2011;APPLICATIONS ENGINEER;3/26/2008;;;3;CERTIFIED;66226;yr;108740;N;SAN JOSE;CA;66226;yr;2008;RADFORD SALARY SURVEY;;;;;;;;;;;Y;ELECTRICAL/ELECTRONICS ENGINEERING OCCUPATIONS
3/27/2008;I-08086-4125621;R;Perficient, Inc.;2401 Portsmouth, Suite 280;;Houston;TX;77098;1;9/27/2008;9/27/2011;TECHNICAL CONSULTANT;3/27/2008;;;39;CERTIFIED;60000;yr;;N;Cupertino;CA;48630;yr;2007;OES Soc Wage Data;;;;;;;;;;;N;OTHER COMPUTER-RELATED OCCUPATIONS
3/26/2008;I-08086-4125623;R;JERSEY SHORE UNIVERSITY MEDICAL CENTER;1945 RT. 33;;NEPTUNE;NJ;07754;1;7/1/2008;6/30/2010;MEDICAL RESIDENT PHYSICIAN;3/26/2008;;;70;CERTIFIED;45561;yr;;N;NEPTUNE;NJ;45561;yr;2008;EMPLOYER WAGE SURVEY;;;;;;;;;;;N;PHYSICIANS AND SURGEONS
3/26/2008;I-08086-4125625;R;Prosoft Technolgy Group,Inc.;2001 Butterfield Rd;Siute 305;Downers Grove;IL;60515;30;9/16/2008;9/15/2011;PROGRAMMER ANALSYT;3/26/2008;;;1;CERTIFIED;55000;yr;;N;Downers Grove;IL;53165;yr;2008;OES Online Wage Source;;;;;;;;;;;N;ARCHITECTURAL OCCUPATIONS
3/26/2008;I-08086-4125631;R;McIntosh Engineering Incorporated;1438 W. Broadway Road;Suite 101;Tempe;AZ;85282;1;9/26/2008;9/25/2011;JUNIOR MINING ENGINEERING;3/26/2008;;;10;CERTIFIED;55000;yr;;N;Tempe;AZ;49171;yr;2008;Online Wage Library;;;;;;;;;;;N;MINING AND PETROLEUM ENGINEERING OCCUPATION
3/26/2008;I-08086-4125643;R;Medical Dynamic Systems, Inc.;359 East 21st Street;;New York;NY;10010;1;9/1/2008;9/1/2011;NURSE SUPERVISOR;3/26/2008;;;79;CERTIFIED;31.31;hr;;N;Great Neck;NY;31.31;hr;2008;BLS-OES-ALC;;;;;;;;;;;Y;OTHER OCCUPATIONS IN MEDICINE AND HEALTH
3/26/2008;I-08086-4125649;R;Balfour Beatty Construction, LLC;3100 McKinnon;;Dallas;TX;22030;1;9/15/2008;9/14/2011;ASSISTANT PROJECT MANAGER;3/26/2008;;;182;CERTIFIED;79664;yr;;N;Fairfax;VA;79664;yr;2007;OES Wage Data;;;;;;;;;;;N;CONSTRUCTION INDUSTRY MANAGERS AND OFFICIALS
3/26/2008;I-08086-4125655;R;Bogopa Enterprises, Inc.;650 Fountain Ave.;;Brooklyn;NY;11208;1;9/26/2008;9/26/2011;PACKAGING ENGINEERING CONSULTANT;3/26/2008;;;7;CERTIFIED;25.34;hr;;Y;Brooklyn;NY;25.34;hr;2008;Online Wage Library;;;;;;;;;;;N;MECHANICAL ENGINEERING OCCUPATIONS
3/26/2008;I-08086-4125657;R;SUMMITWORKS TECHNOLOGIES INC;3840 PARK AVENUE;SUITE 204;EDISON;NJ;08820;1;9/1/2008;9/1/2011;PROGRAMMER ANALYST;3/26/2008;;;30;CERTIFIED;60000;yr;;N;EDISON;NJ;52790;yr;2007;OES WAGE DATA;;;;;;;;;;;N;OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING
3/26/2008;I-08086-4125659;R;Mondi Packaging USA Inc.;1140 Arbor Drive;;Romeoville;IL;60446;1;9/26/2008;9/25/2011;GENERAL MANAGER-PACKAGING SALES & ENG.;3/26/2008;;;183;CERTIFIED;85000;yr;185000;N;Romeoville;IL;81203;yr;2007;OES Online Wage Library;;;;;;;;;;;N;MANUFACTURING INDUSTRY MANAGERS AND OFFICIALS
3/27/2008;I-08086-4125661;R;Biogen Idec Inc.;14 Cambridge Center;;Cambridge;MA;02142;1;9/22/2008;9/21/2011;REG. AFFAIRS AND DRUG SAFETY RISK MNGMNT. FELLOW;3/27/2008;;;22;CERTIFIED;40200;yr;;N;Cambridge;MA;40200;yr;2008;Employer-conducted Survey;;;;;;;;;;;N;OCCUPATIONS IN CHEMISTRY
3/26/2008;I-08086-4125663;R;Trace Business Grouup, Inc.;2525 South Port Way;Suite D;National City;CA;91950;1;9/26/2008;9/25/2011;MARKETING SPECIALIST;3/26/2008;;;169;CERTIFIED;37460;yr;;N;National City;CA;37460;yr;2008;salary.com;;;;;;;;;;;N;OTHER OCCUPATIONS IN ADMINISTRATIVE OCCUPATIONS
3/26/2008;I-08086-4125667;R;Rosario E. Magno International Staffing, Inc.;591 Summit Avenue, Suite 306;;Jersey City;NJ;07306;1;4/1/2008;4/1/2011;DATABASE ADMINISTRATOR;3/26/2008;;;31;CERTIFIED;51000;yr;;N;Jersey City;NJ;50066;yr;2008;BLS-OES-ALC;;;;;;;;;;;N;OCCUPATIONS IN DATA COMMUNICATIONS AND NETWORKS
3/26/2008;I-08086-4125699;R;Bally Total Fitness Corporation;8700 W. Bryn Mawr Avenue;;Chicago;IL;60631;1;9/26/2008;9/25/2011;MASTER TEACHER;3/26/2008;;;153;CERTIFIED;24000;yr;34000;N;Dallas;TX;21694;yr;2008;OES Online Wage Library;;;;;;;;;;;N;OCCUPATIONS IN ATHLETICS AND SPORTS
